year,as_of,rank,ticker,name,sector,avg_dollar_volume_usd_mn
2013,2013-01-01,50,BA,Boeing Company,Industrials,265.7
2013,2013-01-01,51,AXP,American Express Co,Financials,258.0
2013,2013-01-01,52,OXY,Occidental Petroleum,Energy,253.3
2013,2013-01-01,53,F,Ford Motor,Consumer Discretionary,252.4
2013,2013-01-01,54,CMG,Chipotle Mexican Grill,Consumer Discretionary,247.5
2013,2013-01-01,55,AMGN,Amgen Inc,Health Care,236.4
2013,2013-01-01,56,PM,Philip Morris International,Consumer Staples,235.4
2013,2013-01-01,57,LLY,Lilly (Eli) & Co.,Health Care,233.7
2013,2013-01-01,58,NEM,Newmont Mining Corp. (Hldg. Co.),Materials,230.8
2013,2013-01-01,59,DE,Deere & Co.,Industrials,228.3
2013,2013-01-01,60,NOV,National Oilwell Varco Inc.,Energy,223.6
2013,2013-01-01,61,CVS,CVS Caremark Corp.,Consumer Staples,223.3
2013,2013-01-01,62,CLF,Cliffs Natural Resources,Materials,221.2
2013,2013-01-01,63,MDLZ,Mondelez International,Consumer Staples,217.4
2013,2013-01-01,64,NKE,NIKE Inc.,Consumer Discretionary,214.0
2013,2013-01-01,65,BMY,Bristol-Myers Squibb,Health Care,212.2
2013,2013-01-01,66,MET,MetLife Inc.,Financials,204.0
2013,2013-01-01,67,UNP,Union Pacific,Industrials,203.6
2013,2013-01-01,68,USB,U.S. Bancorp,Financials,202.5
2013,2013-01-01,69,COF,Capital One Financial,Financials,199.9
2013,2013-01-01,70,DD,Du Pont (E.I.),Materials,198.7
2013,2013-01-01,71,YUM,Yum! Brands Inc,Consumer Discretionary,198.3
2013,2013-01-01,72,APA,Apache Corporation,Energy,193.9
2013,2013-01-01,73,TGT,Target Corp.,Consumer Discretionary,190.4
2013,2013-01-01,74,MU,Micron Technology,Information Technology,189.1
2013,2013-01-01,75,CF,CF Industries Holdings Inc,Materials,188.0
2013,2013-01-01,76,FFIV,F5 Networks,Information Technology,185.4
2013,2013-01-01,77,TXN,Texas Instruments,Information Technology,181.1
2013,2013-01-01,78,CMI,Cummins Inc.,Industrials,179.9
2013,2013-01-01,79,NTAP,NetApp,Information Technology,179.4
2013,2013-01-01,80,ISRG,Intuitive Surgical Inc.,Health Care,177.5
2013,2013-01-01,81,AA,Alcoa Inc,Materials,177.0
2013,2013-01-01,82,TJX,TJX Companies Inc.,Consumer Discretionary,173.5
2013,2013-01-01,83,AZO,AutoZone Inc,Consumer Discretionary,173.1
2013,2013-01-01,84,WYNN,Wynn Resorts Ltd,Consumer Discretionary,172.2
2013,2013-01-01,85,UPS,United Parcel Service,Industrials,171.4
